ic_id,ic_second_id,ngc_id,messier_id,object_name,object_type_abrev,object_type,ra_hour,ra_minute,dec_sign,dec_deg,dec_minute,constellation,major_axis,minor_axis,position_angle,b_mag,v_mag,j_mag,h_mag,k_mag,surface_brightness,ned_notes
IC2,,,,,G,Galaxy,0,11.01666667,+,12,49.36666667,Cetus,0.98,0.32,142,15.46,,12.26,11.48,11.17,23.45,
IC3,,,,,G,Galaxy,0,12.1,+,0,24.91666667,Pisces,0.93,0.67,53,15.1,,11.53,10.79,10.54,23.5,
IC7,,,,,G,Galaxy,0,18.88333333,+,10,35.68166667,Pisces,0.9,0.63,174,14.7,,11.33,10.57,10.26,23.22,
IC9,,,,,G,Galaxy,0,19.73333333,+,14,7.316666667,Cetus,0.59,0.46,122,15.41,,12.38,11.71,11.28,22.88,
IC19,,,,,G,Galaxy,0,28.65,+,11,38.45,Cetus,0.79,0.67,30,15,,11.65,10.96,10.74,23.52,
IC21,,,,,G,Galaxy,0,29.16666667,+,0,9.833333333,Cetus,0.49,0.45,6,14.5,,13.05,12.42,12.11,22.96,
IC25,,,,,G,Galaxy,0,31.2,+,0,24.45,Cetus,0.86,0.44,34,16,,12.15,11.43,11.17,23.68,
IC26,,,,,Dup,Galaxy,0,31.76666667,+,13,20.25,Cetus,,,,,,,,,,
IC28,,,,,G,Galaxy,0,33.15,+,13,27.38333333,Cetus,0.3,0.22,85,12,,13.14,12.53,12.27,,
IC30,,,,,G,Galaxy,0,34.25,+,2,5.083333333,Cetus,0.69,0.39,23,15.17,,12.08,11.28,11,23.71,
IC31,,,,,G,Galaxy,0,34.41666667,+,12,16.09,Pisces,1.16,0.23,90,15.5,,11.44,10.55,10.24,23.86,
IC32,,,,,G,Galaxy,0,35.03333333,+,2,8.5,Cetus,0.62,0.39,1,16.15,,12.22,11.52,11.16,23.62,
IC33,,,,,G,Galaxy,0,35.08333333,+,2,8.266666667,Cetus,0.78,0.58,123,15.29,,12.12,11.46,11.19,23.6,
IC34,,,,,G,Galaxy,0,35.6,+,9,7.455,Pisces,2.81,1.05,156,13.9,,10.36,9.65,9.42,24.32,
IC41,,,,,G,Galaxy,0,39.66666667,+,14,10.46666667,Cetus,0.71,0.45,162,15.2,,13.52,12.87,12.63,23.2,
IC45,,,,,Other,,0,42.6,+,29,39.315,Andromeda,,,,,,,,,,Two Galactic stars.
IC46,,,,,G,Galaxy,0,42.96666667,+,27,15.20833333,Andromeda,0.8,0.61,82,14.7,,12.3,11.69,11.45,22.83,
IC53,,,,,G,Galaxy,0,50.68333333,+,10,36.01666667,Pisces,0.87,0.62,94,15.5,,11.34,10.64,10.3,23.75,
IC54,,,,,**,Double star,0,50.78333333,+,2,17.26666667,Cetus,,,,,,,,,,
IC57,,,,,G,Galaxy,0,54.81666667,+,11,50.47166667,Pisces,1.03,0.96,10,15.7,,12.32,11.47,11.4,24.3,
IC60,,,,,G,Galaxy,0,56.06666667,+,13,21.48333333,Cetus,1.04,0.76,48,15.75,,11.61,10.88,10.52,24.14,
IC62,,,,,G,Galaxy,0,58.73333333,+,11,48.48,Pisces,0.76,0.46,25,15,,11.79,11.08,10.77,22.85,
IC63,,,,,HII,HII Ionized region,0,59.48333333,+,60,54.70166667,Cassiopeia,10,3,,13.33,,,,,,
IC64,,,,,G,Galaxy,0,59.4,+,27,3.543333333,Pisces,1.03,0.65,148,15.6,,11.8,11.03,10.77,23.88,
IC65,,,,,G,Galaxy,1,0.9166666667,+,47,40.91833333,Andromeda,2.56,0.73,154,13.8,,10.5,9.78,9.51,23.45,
IC67,,,,,NonEx,Nonexistent object,1,0.3,+,6,54.65,Cetus,,,,,,,,,,Nominal position; does not exist.
